Album,Artist,Genre,Release Date,Listened On,Favorite Songs,Rating,Hidden Ranking
Phantom Island,King Gizzard & The Lizard Wizard,Symphonic Rock,1/1/2025,,"Deadstick, Phantom Island, Grow Wings and Fly",7,999
La Vida Era Más Corta,Milo j,Art Pop / Latin Folk,1/1/2025,,"Niño, Ama De Mi Sol, Recordé",7.5,999
"Lust for Life, Or: 'How To Thread The Needle And Come Out The Other Side To Tell The Story'",Courting,Indie Rock / Dance-Punk,1/1/2025,,"Lust for Life, After You, Eleven Sent (This Time)",7.5,999
Sky Record,Dan English,Neo-Psychedelia / Chamber Folk,1/1/2025,,"Need, Across My Jaw, Sky Record Song",7.5,999
Pretty People Blot Out The Sun,Watson Moon,Indie Folk / Singer-Songwriter,1/1/2025,,"Turn Away, Autobahn (Unmarked Van), Jacob In The Chamber",7,999
Y’all,glaive,Digicore / Pop Rap,1/1/2025,,"Asheville, Fuck, We Don't Leave the House",7,999
For Melancholy Brunettes (& sad women),Japanese Breakfast,Indie Folk / Singer-Songwriter,1/1/2025,,"Here is Someone, Orlando in Love, Winter in LA",7.5,999
Baby,Dijon,Alternative R&B / Neo-Psychedelia,1/1/2025,,"Automatic, Yamaha, Kindalove",7.5,999
Cancionera,Natalia Lafourcade,Singer-Songwriter / Latin Jazz,1/1/2025,,"El Palomo y La Negra, El Coconito, Apertura Cancionera",7,999
Lonely People With Power,Deafheaven,Blackgaze / Post-Metal,1/1/2025,,"Amethyst, Doberman, The Garden Route",7.5,999
Burnover,Greg Freeman,Indie Rock / Alt-Country,1/1/2025,,"Gallic Shrug, Point and Shoot, Rome, New York",7,999
"Um Mar Pra Cada Um,",Luedji Luna,Progressive Soul / Jazz Fusion,1/1/2025,,"Dentro Ali, Karma, Salty",7,999
Black Hole Superette,Aesop Rock,Abstract Hip Hop,1/1/2025,,"Unbelievable Shenanigans, So Be It, Himalayan Yak Chew",7,999
Holo Boy,This Is Lorelei,Indie Pop,1/1/2025,,"Dreams Away, I Can't Fall, SF & GG",7,999
A Matter of Time,Laufey,Jazz Pop,1/1/2025,,"Lover Girl, Tough Luck, Clockwork",7.5,999
Twilight Override,Jeff Tweedy,Singer-Songwriter / Contemporary Folk,1/1/2025,,"Enough, One Tiny Flower, KC Rain (No Wonder)",7.5,999
Equus Caballus,Men I Trust,Bedroom Pop,1/1/2025,,"Ring Of Past (2025), Come Back Down, To Ease You",7.5,999
TIDE/TIED,Thanya Iyer,Art Pop,1/1/2025,,"Wash it all away, Low Tides, I am here now",7,999
"SABLE, fABLE",Bon Iver,Pop Soul / Indie Folk,1/1/2025,,"Everything Is Peaceful Love, If Only I Could Wait, Walk Home",7,999
The Art of Loving,Olivia Dean,Pop Soul,1/1/2025,,"So Easy (To Fall In Love), Nice To Each Other, Lady Lady",7,999
Evangelic Girl is a Gun,yeule,Pop Rock / Alternative Pop,1/1/2025,,"Dudu, Tequila Coma, Evangelic Girl is a Gun",7,999
The Scholars,Car Seat Headrest,Indie Rock,1/1/2025,,"Reality, CCF (I'm Gonna Stay With You), The Catastrophe (Good Luck With That, Man)",7,999
Clarity of Cal,Vulfpeck,Funk / Pop Soul,1/1/2025,,"Big Dipper, Matter of Time, New Beastly",7.5,999
Addison,Addison Rae,Alternative Pop / Alternative R&B,1/1/2025,,"Fame is a Gun, Aquamarine, Headphones On",7,999
"by them, by you, by me",Harmless,Bedroom Pop,1/1/2025,,"why do you do this to me?, what's another year?, future music",7,999
I I,Blood Abscission,Atmospheric Black Metal,1/1/2025,,"I I - I, I I - I I I, I I - V",7,999
Animaru,Mei Semones,Indie Pop / Bossa Nova,1/1/2025,,"Dumb Feeling, I can do what I want, Tora Moyo",7,999
a seasons end.,drug bug,Noise Pop,1/1/2025,,"a seasons end., boy kisser, dont talk to me or ill kill myself :3",7,999
Mark William Lewis,mark william lewis,Singer-Songwriter /Slowcore,1/1/2025,,"Still Above, Petals, Ecstatic Heads",7,999
DON'T TAP THE GLASS,"Tyler, The Creator",Pop Rap / Dance,1/1/2025,,"Sucka Free, Ring Ring Ring, Big Poe (feat. Sk8brd)",7,999
CRYSALIS,Jenevieve,Contemporary R&B / Neo-Soul,1/1/2025,,"Naive, Hvn High, Crysalis",6.5,999
BELOVED,GIVĒON,Contemporary R&B / Pop Soul,1/1/2025,,"MUD, RATHER BE, TWENTIES",6.5,999
LOWER,Benjamin Booker,Art Rock / Neo-Soul,1/1/2025,,"SAME KIND OF LONELY, BLACK OPPS, SHOW AND TELL",6.5,999
QUIT QUIETLY,落日飛車 Sunset Rollercoaster,Soft Rock / Indie Pop,1/1/2025,,"Satellite, Wind of Tomorrow, Bluebird",6.5,999
K1,kmoe,Indietronica / Indie Rock,1/1/2025,,"Thousand yard stare, Aired out, Don't be like mouse",6.5,999
Fall Back,Florence Road,Indie Rock,1/1/2025,,"Hand Me Downs, Goodnight, Heavy",6.5,999
